Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
43144.0,765.795,258.03363,213.19014,1.210345,0.5633613,43652.0,234.37715,0.7522405,0.9883625,0.9244964,0.9083201,0.005980754,0.0025112587,0.82504547,0.9985897,SEKER
39367.0,733.025,260.76154,192.52214,1.3544495,0.67446446,39822.0,223.88306,0.7989082,0.98857415,0.9206713,0.8585739,0.006623861,0.0022202495,0.73714924,0.9984314,SIRA
174325.0,1617.626,608.1852,369.68256,1.6451551,0.7940554,177123.0,471.12363,0.76607513,0.98420304,0.8371693,0.7746385,0.0034888005,0.0007749117,0.6000648,0.98719966,BOMBAY
45626.0,790.051,265.7258,218.94818,1.213647,0.56664383,46200.0,241.02454,0.77264106,0.98757577,0.91856945,0.90704226,0.0058239996,0.002431707,0.8227257,0.99849856,SEKER
41427.0,744.242,270.01755,196.0312,1.3774213,0.68770075,41876.0,229.66605,0.81549215,0.98927784,0.939864,0.8505597,0.0065179123,0.0021042994,0.72345185,0.996498,DERMASON
37560.0,722.862,280.58026,171.04445,1.6403939,0.7927017,37925.0,218.68442,0.7918204,0.99037576,0.9032847,0.77940065,0.0074701877,0.0017004125,0.6074653,0.9964824,DERMASON
30437.0,643.788,231.34065,168.21158,1.3752956,0.6865142,30827.0,196.85931,0.70456016,0.98734874,0.92283905,0.85095,0.007600639,0.0024583628,0.72411585,0.9958734,DERMASON
66026.0,1010.329,348.70428,242.29204,1.43919,0.71916896,67246.0,289.94296,0.7714129,0.98185766,0.812829,0.83148664,0.0052813175,0.0015571956,0.69137,0.9950129,BARBUNYA
52864.0,902.318,368.12674,183.26874,2.0086718,0.8672681,53386.0,259.43887,0.7049285,0.99022216,0.8159258,0.70475423,0.0069636567,0.0010596634,0.49667856,0.9976642,HOROZ
73789.0,1033.589,402.7552,234.87822,1.7147405,0.81234396,74581.0,306.5144,0.8086909,0.98938066,0.867972,0.7610439,0.005458201,0.0011294531,0.57918787,0.99315685,CALI
45154.0,773.686,273.64484,210.45053,1.3002812,0.63917124,45500.0,239.7746,0.75764287,0.9923956,0.94793075,0.87622553,0.006060257,0.0022036082,0.7677711,0.9983184,SEKER
35083.0,685.515,227.98477,196.19418,1.1620363,0.50935197,35477.0,211.35057,0.78270084,0.9888942,0.9381508,0.9270381,0.00649844,0.0029605965,0.8593996,0.9986536,SEKER
95824.0,1306.551,451.44165,272.13464,1.6588908,0.797883,98004.0,349.29486,0.71461916,0.977756,0.70539343,0.77373207,0.0047111544,0.0010415243,0.59866124,0.9931137,BARBUNYA
30605.0,643.371,233.19475,167.5795,1.391547,0.69539815,30904.0,197.40187,0.7565383,0.99032485,0.929136,0.84651077,0.0076194988,0.0024134375,0.71658045,0.99715537,DERMASON
34266.0,678.422,251.62323,173.66649,1.4488877,0.72363335,34595.0,208.87515,0.76267,0.99048996,0.93556386,0.8301107,0.0073432336,0.0021508553,0.6890838,0.99840504,DERMASON
67055.0,1011.117,396.76782,217.68541,1.8226662,0.8360542,68471.0,292.19357,0.79736257,0.9793197,0.82421064,0.7364346,0.0059170504,0.0010735488,0.5423359,0.9884974,CALI
28279.0,643.246,245.81274,146.85706,1.6738232,0.8019176,28642.0,189.75232,0.7490729,0.9873263,0.8588548,0.77193844,0.008692413,0.0019039294,0.595889,0.99741286,DERMASON
36128.0,690.354,241.89723,190.49014,1.2698674,0.6163354,36465.0,214.47517,0.7767291,0.99075824,0.9525989,0.88663757,0.006695561,0.0025524148,0.7861262,0.998276,SEKER
55654.0,937.416,387.86215,183.68208,2.111595,0.88075316,56373.0,266.19705,0.73500705,0.9872457,0.7958689,0.6863187,0.0069691692,0.000953815,0.47103336,0.9946317,HOROZ
46652.0,805.423,296.14166,201.31723,1.47102,0.7333971,47209.0,243.71945,0.7948613,0.9882014,0.9037162,0.82298267,0.0063478877,0.0017962706,0.6773005,0.9963225,SIRA
44724.0,765.1,266.51697,213.9524,1.2456834,0.5962858,45054.0,238.63019,0.8088108,0.9926755,0.96009475,0.8953659,0.0059591485,0.002362469,0.80168,0.9986395,SEKER
29930.0,640.443,235.26985,162.34814,1.4491687,0.72376096,30245.0,195.21286,0.7803212,0.98958504,0.916971,0.8297402,0.00786067,0.0022983062,0.6884688,0.9977075,DERMASON
63716.0,979.012,373.08746,218.67833,1.7061018,0.8102159,64479.0,284.82578,0.752255,0.9881667,0.8353767,0.763429,0.0058554756,0.0012269208,0.5828238,0.99435675,CALI
39789.0,746.535,274.50952,185.36003,1.4809532,0.7375974,40254.0,225.07983,0.7323983,0.9884484,0.8971655,0.8199345,0.0068991315,0.0019234936,0.67229253,0.9956338,SIRA
66985.0,998.738,371.81738,230.62596,1.6122097,0.784391,68002.0,292.04102,0.7100683,0.98504454,0.843887,0.785442,0.005550756,0.001303132,0.61691916,0.99460304,CALI
35704.0,683.565,241.10435,188.6547,1.2780193,0.62269986,35994.0,213.2129,0.7663118,0.9919431,0.96021193,0.88431793,0.006752867,0.0025474268,0.78201824,0.9994345,SEKER
31488.0,658.189,242.20204,165.9942,1.4590994,0.7282098,31850.0,200.22928,0.7862172,0.9886342,0.9133846,0.82670355,0.007691884,0.002216214,0.6834388,0.99720514,DERMASON
29602.0,651.461,239.04219,158.13338,1.5116491,0.7499194,30002.0,194.14024,0.7304266,0.9866676,0.87650436,0.81215894,0.008075204,0.002167192,0.65960217,0.997087,DERMASON
71003.0,1076.435,365.1089,248.97034,1.4664755,0.7314388,72459.0,300.6723,0.71616036,0.9799059,0.77003586,0.82351404,0.0051421616,0.0014588461,0.6781754,0.9945275,BARBUNYA
43330.0,794.981,291.38583,190.7365,1.5276879,0.7559893,44016.0,234.88182,0.67983556,0.98441476,0.86155903,0.8060852,0.006724806,0.001751392,0.6497734,0.992651,SIRA
44756.0,827.325,266.578,214.26198,1.2441684,0.5949676,45565.0,238.71555,0.75194895,0.98224515,0.8216916,0.89548105,0.0059562516,0.0023625356,0.8018863,0.9976816,SEKER
69016.0,1020.332,402.05362,220.45543,1.8237411,0.83626634,69950.0,296.43533,0.744172,0.9866476,0.8330607,0.73730296,0.005825513,0.0010619349,0.54361564,0.99141425,CALI
29734.0,640.924,237.45796,159.76906,1.4862576,0.7397963,30046.0,194.57262,0.7585978,0.9896159,0.9095993,0.81939816,0.007986075,0.0022207166,0.67141336,0.99789315,DERMASON
38220.0,725.726,266.28104,183.09128,1.4543623,0.72610235,38642.0,220.59741,0.74333394,0.98907924,0.91191673,0.8284383,0.0069670603,0.0020242769,0.68630993,0.99814326,DERMASON
38934.0,708.524,242.4915,204.71107,1.1845548,0.53602993,39207.0,222.64839,0.79535055,0.993037,0.9746075,0.9181699,0.006228271,0.002730483,0.843036,0.99862236,SEKER
46862.0,812.557,310.74457,192.48021,1.6144234,0.7850628,47413.0,244.26738,0.7108381,0.9883787,0.89191407,0.7860713,0.0066310563,0.0015617453,0.61790806,0.9975652,SIRA
73480.0,1069.283,413.7833,230.20041,1.7974917,0.83096087,75618.0,305.87195,0.77184874,0.9717263,0.80759513,0.73920804,0.0056312373,0.0010371708,0.5464285,0.9822007,CALI
46863.0,867.433,347.44275,172.12878,2.0185046,0.8686557,47538.0,244.26999,0.7007027,0.98580086,0.7826509,0.70305103,0.00741401,0.001117327,0.49428073,0.99770796,HOROZ
29986.0,650.014,246.31497,155.8957,1.5799984,0.7742237,30489.0,195.3954,0.69120836,0.98350227,0.8918319,0.7932746,0.008214332,0.0020065322,0.6292845,0.99426854,DERMASON
65587.0,1010.572,408.41446,207.23169,1.9708109,0.8617075,66766.0,288.97745,0.8019735,0.9823413,0.8070364,0.7075593,0.0062270644,0.000962752,0.5006401,0.986667,HOROZ
37248.0,703.557,249.15204,190.70677,1.3064667,0.6435272,37633.0,217.77426,0.73598105,0.98976964,0.94561476,0.8740617,0.0066890046,0.0024082945,0.76398385,0.9981195,SEKER
68394.0,992.182,377.78085,232.6216,1.6240145,0.7879353,69082.0,295.0965,0.729536,0.99004084,0.8730622,0.78113145,0.0055235964,0.0012685226,0.6101664,0.990919,CALI
46301.0,814.862,297.3416,199.6006,1.4896829,0.7412004,46852.0,242.80087,0.69059587,0.9882396,0.8762582,0.8165721,0.0064219264,0.0017612594,0.66679007,0.99330574,SIRA
54815.0,893.955,346.4925,201.9357,1.7158555,0.8126159,55353.0,264.18295,0.76681495,0.99028057,0.8619419,0.76244926,0.006321125,0.0013177042,0.58132887,0.99747634,SIRA
39375.0,746.118,271.99176,184.91591,1.4708943,0.7333433,39868.0,223.90579,0.79091674,0.9876342,0.8888232,0.823208,0.0069077276,0.0019568307,0.67767143,0.996783,SIRA
49293.0,844.304,321.90518,195.99446,1.6424198,0.7932794,49842.0,250.52304,0.6949332,0.9889852,0.86895525,0.77825105,0.0065304437,0.0014777514,0.60567474,0.9947722,SIRA
60063.0,942.016,356.03903,216.21329,1.6467028,0.79449236,60728.0,276.54037,0.6947073,0.98904955,0.85055095,0.77671367,0.0059277597,0.0013308043,0.6032842,0.9934297,CALI
64109.0,960.565,332.34695,246.83766,1.3464191,0.66961235,65115.0,285.70285,0.70558,0.9845504,0.8731229,0.85965234,0.005184092,0.0017464007,0.73900217,0.9950067,BARBUNYA
86593.0,1178.19,425.8092,260.66937,1.6335222,0.79072297,88300.0,332.04462,0.77094907,0.9806682,0.7839024,0.7797967,0.0049173627,0.0011215991,0.60808295,0.99331695,BARBUNYA
46494.0,799.436,254.0924,233.2004,1.0895882,0.39709407,47084.0,243.3064,0.7691061,0.9874692,0.91419613,0.9575508,0.005465058,0.0028341436,0.91690356,0.99904734,SEKER
35147.0,681.174,248.45428,180.47745,1.37665,0.68727106,35399.0,211.54326,0.7810444,0.9928812,0.95187956,0.85143733,0.0070690042,0.0022916526,0.72494555,0.99799633,DERMASON
56638.0,946.024,384.78024,189.86787,2.0265684,0.869777,57458.0,268.54,0.7969999,0.9857287,0.79526794,0.69790494,0.006793676,0.0009941906,0.48707128,0.98708326,HOROZ
199669.0,1690.464,625.76294,411.06564,1.5222944,0.753975,202954.0,504.20874,0.7644705,0.98381406,0.8780286,0.8057504,0.0031340015,0.0008148565,0.64923376,0.9883249,BOMBAY
39241.0,753.171,287.3169,174.23518,1.6490177,0.79514325,39756.0,223.52448,0.80902606,0.987046,0.8692861,0.7779719,0.0073218546,0.0016544613,0.60524035,0.998052,SIRA
96243.0,1207.214,476.6116,260.20917,1.831648,0.83781356,98057.0,350.0577,0.7138894,0.98150057,0.8298708,0.7344716,0.004952169,0.0008889458,0.53944856,0.98807985,CALI
34586.0,727.413,283.53928,156.53584,1.8113377,0.8337923,35278.0,209.84819,0.6876081,0.98038435,0.82138747,0.74010277,0.008198094,0.0015172624,0.5477521,0.99216396,HOROZ
69843.0,1006.281,386.3156,232.03279,1.6649182,0.799527,70899.0,298.2061,0.7821165,0.9851056,0.8667507,0.7719235,0.0055312,0.0012114239,0.59586585,0.9920679,CALI
47937.0,853.142,337.15375,184.18367,1.8305302,0.83759624,48712.0,247.0532,0.80547434,0.98409015,0.8276335,0.7327612,0.007033268,0.0012507971,0.536939,0.98288304,HOROZ
65329.0,1023.034,405.08286,208.56738,1.9422159,0.85726476,66419.0,288.4085,0.64046156,0.98358905,0.78439665,0.7119741,0.006200659,0.0009828209,0.5069071,0.984523,HOROZ
36847.0,691.017,235.62074,199.31104,1.1821761,0.53334534,37168.0,216.59885,0.76509553,0.9913635,0.9696936,0.91926897,0.0063945707,0.002816836,0.8450554,0.99900436,SEKER
97818.0,1209.324,466.1826,271.19772,1.7189767,0.81337374,99498.0,352.9104,0.6988148,0.98311526,0.8405108,0.75702184,0.004765816,0.0009654964,0.5730821,0.9851147,CALI
69112.0,1103.241,396.1408,223.26823,1.7742819,0.8260422,70526.0,296.64142,0.67558163,0.97995067,0.71354693,0.74882823,0.005731867,0.0011117439,0.56074375,0.99491745,BARBUNYA
28942.0,638.821,239.86119,154.00436,1.557496,0.76665753,29368.0,191.96379,0.7861256,0.98549443,0.89120996,0.80031204,0.0082876505,0.002097242,0.64049935,0.99757516,DERMASON
49460.0,833.355,310.7318,205.41241,1.5127217,0.7503329,50450.0,250.94707,0.79232347,0.9803766,0.8949605,0.8076002,0.006282487,0.0016485305,0.65221804,0.98662436,SIRA
